Track ID,Track Name,Point Central Name
126,682 Old Comfort Rd Guest House,672 Bob Moritz Guest
128,682 Old Comfort Rd Main House,672 Bob Moritz Main
161,701 Franklin Street,701 Franklin St.
173,705 Alfred St - Kris' Place,705 Alfred
59,705 N Bowie St,705 n bowie
101,705 N Washington,705 N Washington
74,707 W Travis St,no PC
194,708 W Schubert - One Oak,"708 W Schubert
708 W. Schubert St"
200,801 N Bowie St,801 N Bowie
72,803 N Bowie - Casablanca,803 N Bowie
219,808 Avenue C - The Un-Corked Haus,808 Ave C
245,826 Jenschke Lane Cabin#1,no PC
246,826 Jenschke Lane Cabin#2,no PC
244,826 Jenschke Lane Main House (Not Live),no PC
218,8738 E Hwy 290 - Cabernet Cottage,8738 Der Fels unit 4
203,8738 E Hwy 290 - Der Fels Alexander Suite,no PC
201,8738 E Hwy 290 - Der Fels Franciscan Cottage,no PC
202,8738 E Hwy 290 - Der Fels Riesling Suite,no PC
123,907 Hill Street - COMBO,no PC
111,907 Hill Street - Wanderlust#1,907 Hill St. UNIT 1
113,907 Hill Street - Wanderlust#2,907 Hill St. UNIT 2
115,907 Hill Street - Wanderlust#3,907 Hill St. UNIT 3
114,907 Hill Street - Wanderlust#4,907 Hill St. UNIT 4
16,907 W. Travis St.,907 W Travis
58,912 Apple St,912 Apple St
217,922 Apple St,922 Apple
197,9300 River Rd #9 - River Villas,9300 River Road
240,983 Ridgeroad Dr,983 Ridge Road Dr.
22,Lariat Springs,no PC
23,Pecan Orchard 311 (4BDRM) (Snoozed per Owner Request),Pecan Orchard Resort Unit 313
24,Pecan Orchard 313 (1BDRM) (Snoozed per Owner Request),Pecan Orchard Resort Unit 313
209,RESUSE (Snoozed),no PC
160,The Grand Retreat (303 Columbus + 701 Franklin St),no PC
152,ZZ Top Gladheart Game Room,no PC
204,151 Miller Cox - A Thousand Stars,151 Miller Cox
201,8738 E Hwy 290 - Der Fels Franciscan Cottage,Fransiscan Suite
